context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,2054,2267270,0.792166,0.710815,0.71261,0.70902,0.710808,0.710808,0.468,2055,0.726515,0.714949,0.652981,0.776916,0.71519,0.713991,0.004133,-0.059629,0.067895
10m,2054,112842,0.807747,0.726671,0.674487,0.778855,0.726874,0.726045,0.5566,2055,0.740328,0.724713,0.794721,0.654704,0.72444,0.723191,-0.001958,0.120235,-0.124151
40m,2054,27536,0.84299,0.768367,0.796676,0.740058,0.768257,0.768108,0.4926,2055,0.791811,0.768337,0.788856,0.747818,0.768257,0.768186,-3e-05,-0.00782,0.007759
80m,2054,13143,0.86487,0.782519,0.819159,0.745878,0.782376,0.78213,0.4581,2055,0.794224,0.778468,0.775171,0.781765,0.778481,0.778472,-0.00405,-0.043988,0.035887
120m,2054,8525,0.874213,0.786678,0.766373,0.806984,0.786758,0.786641,0.5222,2055,0.800718,0.789191,0.788856,0.789525,0.789192,0.789189,0.002512,0.022483,-0.017459
240m,2054,3847,0.870889,0.798022,0.815249,0.780795,0.797955,0.797915,0.4335,2055,0.81353,0.791521,0.764418,0.818623,0.791626,0.791436,-0.006502,-0.050831,0.037827
