context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,2174,2468440,0.623423,0.57126,0.386615,0.755906,0.49448,0.493062,0.5222,2174,0.604484,0.588779,0.533463,0.644094,0.565777,0.549601,0.017519,0.146849,-0.111811
10m,2174,122887,0.620455,0.58645,0.793372,0.379528,0.672493,0.58897,0.4532,2174,0.60521,0.581613,0.45614,0.707087,0.529439,0.522978,-0.004836,-0.337232,0.327559
40m,2174,29984,0.626827,0.586669,0.735543,0.437795,0.648574,0.58445,0.4729,2174,0.60133,0.597871,0.592593,0.60315,0.595676,0.57023,0.011202,-0.14295,0.165354
80m,2174,14366,0.622728,0.584647,0.706303,0.462992,0.635235,0.579253,0.4581,2174,0.600713,0.586207,0.509422,0.662992,0.554278,0.541495,0.001559,-0.196881,0.2
120m,2174,9289,0.622004,0.57783,0.424951,0.730709,0.514259,0.510521,0.5369,2174,0.604647,0.587481,0.623782,0.551181,0.602576,0.568613,0.009651,0.19883,-0.179528
240m,2174,4198,0.624292,0.589974,0.797271,0.382677,0.676173,0.592739,0.4581,2174,0.599463,0.584749,0.578947,0.590551,0.582337,0.557403,-0.005225,-0.218324,0.207874
