Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.589,0.772,0.784,0.784,0.785,0.796
10m,0.643,0.820,0.830,0.826,0.821,0.821
40m,0.771,0.819,0.822,—,—,0.821
80m,0.777,0.845,—,—,—,0.840
120m,0.787,0.837,—,—,—,0.837
240m,0.830,—,—,—,—,0.848
