Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.695,0.815,0.827,0.831,0.831,0.832
10m,0.741,0.840,0.848,0.850,0.852,0.851
40m,0.782,0.866,0.869,0.872,—,0.872
80m,0.800,0.893,0.897,—,—,0.897
120m,0.849,0.905,—,—,—,0.905
240m,0.898,—,—,—,—,0.910
