Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.602,0.735,0.747,0.750,0.752,0.753
10m,0.630,0.767,0.786,0.789,0.792,0.793
40m,0.656,0.812,0.822,0.825,—,0.825
80m,0.705,0.840,0.847,—,—,0.847
120m,0.740,0.856,—,—,—,0.857
240m,0.810,—,—,—,—,0.854
