Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.711,0.825,0.838,0.841,0.841,0.843
10m,0.759,0.854,0.863,0.867,0.867,0.867
40m,0.801,0.892,0.897,0.899,—,0.899
80m,0.833,0.921,0.925,—,—,0.925
120m,0.873,0.929,—,—,—,0.929
240m,0.901,—,—,—,—,0.920
