Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.666,0.711,0.723,0.725,0.728,0.729
10m,0.678,0.718,0.732,0.732,0.735,0.734
40m,0.707,0.731,0.739,0.739,—,0.739
80m,0.714,0.744,0.744,—,—,0.744
120m,0.723,0.744,—,—,—,0.745
240m,0.737,—,—,—,—,0.746
