Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.556,0.677,0.748,0.761,0.760,0.772
10m,0.598,0.735,0.768,0.745,0.739,0.738
40m,0.675,0.717,0.770,—,—,0.763
80m,0.638,0.752,—,—,—,0.756
120m,0.702,0.724,—,—,—,0.724
240m,0.721,—,—,—,—,0.694
