Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.723,0.840,0.852,0.858,0.859,0.861
10m,0.758,0.871,0.879,0.887,0.890,0.889
40m,0.802,0.894,0.903,0.906,—,0.906
80m,0.812,0.885,0.889,—,—,0.889
120m,0.832,0.894,—,—,—,0.894
240m,0.878,—,—,—,—,0.887
