Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.728,0.729,0.733,0.733,0.734,0.735
10m,0.708,0.721,0.729,0.726,0.727,0.727
40m,0.730,0.726,0.732,—,—,0.732
80m,0.737,0.724,—,—,—,0.721
120m,0.730,0.713,—,—,—,0.713
240m,0.742,—,—,—,—,0.744
