Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.615,0.688,0.709,0.729,0.728,0.744
10m,0.619,0.747,0.748,0.762,0.759,0.757
40m,0.754,0.784,0.798,—,—,0.794
80m,0.714,0.784,—,—,—,0.791
120m,0.739,0.798,—,—,—,0.798
240m,0.775,—,—,—,—,0.818
