Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.670,0.730,0.742,0.745,0.747,0.747
10m,0.679,0.737,0.752,0.754,0.755,0.755
40m,0.714,0.749,0.755,0.755,—,0.755
80m,0.721,0.767,0.769,—,—,0.769
120m,0.730,0.765,—,—,—,0.766
240m,0.758,—,—,—,—,0.777
