context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,1742,2045430,0.6787,0.620191,0.681361,0.55902,0.649828,0.597136,0.4631,1741,0.650879,0.619397,0.586234,0.652561,0.60333,0.572897,-0.000793,-0.095128,0.093541
10m,1742,101804,0.688339,0.630739,0.689095,0.572383,0.659013,0.606949,0.4778,1741,0.654155,0.628015,0.645785,0.610245,0.636625,0.594577,-0.002724,-0.04331,0.037862
40m,1742,24893,0.684293,0.627915,0.825986,0.429844,0.723881,0.630708,0.4384,1741,0.643957,0.623842,0.715391,0.532294,0.668197,0.607298,-0.004073,-0.110596,0.10245
80m,1742,11899,0.682742,0.629041,0.752514,0.505568,0.688863,0.618989,0.4483,1741,0.642296,0.616228,0.613302,0.619154,0.614811,0.57792,-0.012813,-0.139211,0.113586
120m,1742,7732,0.684572,0.631277,0.623357,0.639198,0.62744,0.591148,0.5517,1741,0.644941,0.628869,0.725445,0.532294,0.67566,0.613415,-0.002408,0.102088,-0.106904
240m,1742,3503,0.68689,0.638194,0.690642,0.585746,0.663605,0.612986,0.4483,1741,0.632618,0.630873,0.584687,0.67706,0.608496,0.580235,-0.007321,-0.105955,0.091314
