context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,2054,2267270,0.799512,0.713051,0.788856,0.637245,0.712756,0.711215,0.468,2055,0.734892,0.72544,0.73216,0.71872,0.725414,0.72541,0.012389,-0.056696,0.081474
10m,2054,112842,0.826099,0.735484,0.821114,0.649855,0.735151,0.733324,0.468,2055,0.759418,0.746904,0.764418,0.729389,0.746835,0.746781,0.011419,-0.056696,0.079534
40m,2054,27536,0.870436,0.783515,0.826002,0.741028,0.78335,0.783012,0.4926,2055,0.805783,0.78347,0.814272,0.752667,0.78335,0.783183,-4.6e-05,-0.01173,0.011639
80m,2054,13143,0.895376,0.805388,0.83871,0.772066,0.805258,0.80508,0.4483,2055,0.833081,0.816383,0.797654,0.835112,0.816456,0.816368,0.010995,-0.041056,0.063046
120m,2054,8525,0.90027,0.814091,0.831867,0.796314,0.814021,0.813982,0.4926,2055,0.843247,0.811624,0.821114,0.802134,0.811587,0.81158,-0.002467,-0.010753,0.00582
240m,2054,3847,0.900859,0.818667,0.761486,0.875849,0.81889,0.818227,0.532,2055,0.831308,0.817804,0.788856,0.846751,0.817916,0.817728,-0.000864,0.02737,-0.029098
