task,head,run_tag,context_length,epoch,is_best_epoch,is_overfit_epoch,train_loss,val_loss,train_bal_acc,val_bal_acc,val_auroc,num_classes,n_train,n_val,n_test,n_epochs_run,n_overfit_epochs,training_time_min,batch_size,seq_len,steps_per_epoch,windows_per_subject_train,n_trainable_params,input_dim,hidden_dim,save_snapshots,snapshot_interval,train_accuracy,train_balanced_accuracy,train_macro_f1,train_auroc,train_recall_class0,train_recall_class1,train_recall_class2,train_recall_class3,train_recall_class4,val_accuracy,val_balanced_accuracy,val_macro_f1,val_recall_class0,val_recall_class1,val_recall_class2,val_recall_class3,val_recall_class4,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auroc,test_recall_class0,test_recall_class1,test_recall_class2,test_recall_class3,test_recall_class4
age_class,lstm,,30s,1,False,False,0.9459990413928664,0.9000064255153704,0.5166395781309802,0.5142722415740081,0.7464855958978168,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,2,False,False,0.894728445555787,0.8833263758371568,0.5469117801498525,0.53865998100811,0.7572821431558371,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,3,False,False,0.8816299274690973,0.8943992139768575,0.5575692807356457,0.5528035958922294,0.7577030694817105,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,4,False,False,0.8758613648656606,0.8780184072150281,0.5595167173562738,0.5562972651147479,0.7639093859041287,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,5,False,False,0.8708965149112776,0.871746082604733,0.5652288092526907,0.5567987094187737,0.7663661634208552,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,6,False,False,0.8664844893364207,0.8654063643018939,0.5663743124413451,0.5582319112425617,0.767578986587182,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,7,False,False,0.8649264546936634,0.8618485465621744,0.5679325302145157,0.5658533739366843,0.7700811861007989,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,8,False,False,0.8613602621965067,0.8559208304283118,0.5663800898853205,0.5566604850100357,0.7709721054971869,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,9,False,False,0.8596271704252478,0.8926036473177273,0.5701616819061164,0.5682514407640652,0.7666257827165515,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,10,False,False,0.8572050329173175,0.8598069014633901,0.5711197489916605,0.5673704064583046,0.7705253217889542,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,11,False,False,0.8553922852512874,0.8626536547143719,0.5730433029415624,0.5393334784717281,0.7740179312998997,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,12,False,False,0.8551536789044927,0.8545148771767208,0.5729813669675762,0.5643125196910322,0.7728116862207646,3,43350,9295,9305,24,0,6.7621481617291765,32,1,1355,5.0,645891,500,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
