task,head,run_tag,context_length,epoch,is_best_epoch,is_overfit_epoch,train_loss,val_loss,train_bal_acc,val_bal_acc,val_auroc,num_classes,n_train,n_val,n_test,n_epochs_run,n_overfit_epochs,training_time_min,batch_size,seq_len,steps_per_epoch,windows_per_subject_train,n_trainable_params,input_dim,hidden_dim,save_snapshots,snapshot_interval,train_accuracy,train_balanced_accuracy,train_macro_f1,train_auroc,train_recall_class0,train_recall_class1,train_recall_class2,train_recall_class3,train_recall_class4,val_accuracy,val_balanced_accuracy,val_macro_f1,val_recall_class0,val_recall_class1,val_recall_class2,val_recall_class3,val_recall_class4,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auroc,test_recall_class0,test_recall_class1,test_recall_class2,test_recall_class3,test_recall_class4
age_class,lstm,,30s,1,False,False,0.8919998376344727,0.8591771034414631,0.5596387265389382,0.5776916977298231,0.7779139154115532,3,43350,9295,9305,32,0,15.0371622244517,32,1,1355,5.0,3279619,3072,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,2,False,False,0.815156702560812,0.8355107296019745,0.6071661803683663,0.5923685369164816,0.7881511180651525,3,43350,9295,9305,32,0,15.0371622244517,32,1,1355,5.0,3279619,3072,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,3,False,False,0.7893597643433146,0.8333893213623502,0.6252881056357197,0.5961368916134787,0.789834011132427,3,43350,9295,9305,32,0,15.0371622244517,32,1,1355,5.0,3279619,3072,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,4,False,False,0.7743042751249558,0.8178511210254856,0.6325901073655326,0.5858332448343121,0.7930592862035898,3,43350,9295,9305,32,0,15.0371622244517,32,1,1355,5.0,3279619,3072,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,5,False,False,0.7572961880069016,0.8232171363379123,0.6412688904280154,0.5785466137619518,0.7917461133317736,3,43350,9295,9305,32,0,15.0371622244517,32,1,1355,5.0,3279619,3072,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,6,False,False,0.7507178368177931,0.807768764272693,0.6456351611751434,0.5787107728088527,0.7985697339159904,3,43350,9295,9305,32,0,15.0371622244517,32,1,1355,5.0,3279619,3072,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,7,False,False,0.7406128024614943,0.7940670326167759,0.6547821764886915,0.6044896416320635,0.804879548129835,3,43350,9295,9305,32,0,15.0371622244517,32,1,1355,5.0,3279619,3072,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,8,False,False,0.730964388069122,0.8087896093750205,0.6572913255102678,0.5873024856720085,0.8008291914198216,3,43350,9295,9305,32,0,15.0371622244517,32,1,1355,5.0,3279619,3072,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,9,False,False,0.7232500715802973,0.7975503970885418,0.6597840805313161,0.6058061066094609,0.8041202367036572,3,43350,9295,9305,32,0,15.0371622244517,32,1,1355,5.0,3279619,3072,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,10,False,False,0.719855396043608,0.808296495563821,0.6640882186272942,0.5788012630580306,0.8023327303728548,3,43350,9295,9305,32,0,15.0371622244517,32,1,1355,5.0,3279619,3072,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
