context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,2020,2320100,0.697398,0.644371,0.733004,0.555739,0.626733,0.626146,0.4581,2021,0.648775,0.647181,0.61063,0.683732,0.654455,0.644743,0.00281,-0.122373,0.127993
10m,2020,115492,0.704494,0.652559,0.600742,0.704377,0.662871,0.651363,0.4975,2021,0.655088,0.651123,0.592089,0.710157,0.662871,0.650435,-0.001436,-0.008653,0.00578
40m,2020,28209,0.714366,0.663628,0.677379,0.649876,0.660891,0.656077,0.4778,2021,0.662291,0.661632,0.61063,0.712634,0.671782,0.660452,-0.001996,-0.066749,0.062758
80m,2020,13493,0.738985,0.684913,0.656366,0.71346,0.690594,0.681951,0.5123,2021,0.682368,0.681997,0.681088,0.682907,0.682178,0.676132,-0.002916,0.024722,-0.030553
120m,2020,8753,0.745271,0.683305,0.614339,0.752271,0.69703,0.683746,0.5369,2021,0.684031,0.68261,0.687268,0.677952,0.681683,0.676109,-0.000695,0.07293,-0.074319
240m,2020,3979,0.756921,0.690567,0.578492,0.802642,0.712871,0.69381,0.5517,2021,0.696144,0.68738,0.666255,0.708505,0.691584,0.683696,-0.003187,0.087763,-0.094137
