context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,1430,1518240,0.825462,0.737956,0.675912,0.8,0.740559,0.738296,0.5813,1429,0.763527,0.758071,0.808759,0.707383,0.755944,0.755857,0.020115,0.132847,-0.092617
10m,1430,75547,0.849784,0.765909,0.870073,0.661745,0.761538,0.760295,0.4631,1429,0.789463,0.772375,0.830657,0.714094,0.76993,0.769776,0.006466,-0.039416,0.052349
40m,1430,18455,0.844934,0.746225,0.614599,0.877852,0.751748,0.744978,0.601,1429,0.785944,0.766105,0.741606,0.790604,0.767133,0.766383,0.019879,0.127007,-0.087248
80m,1430,8756,0.861355,0.785436,0.788321,0.78255,0.785315,0.78512,0.5468,1429,0.798763,0.788542,0.832117,0.744966,0.786713,0.78669,0.003106,0.043796,-0.037584
120m,1430,5697,0.872456,0.802435,0.843796,0.761074,0.800699,0.800688,0.4729,1429,0.81238,0.805874,0.829197,0.78255,0.804895,0.804874,0.003439,-0.014599,0.021477
240m,1430,2605,0.856566,0.770244,0.827737,0.712752,0.767832,0.767685,0.4828,1429,0.786629,0.772635,0.820438,0.724832,0.770629,0.770575,0.002391,-0.007299,0.012081
