context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,229,228170,0.756098,0.716667,0.6,0.833333,0.624454,0.529212,0.6896,230,0.816667,0.696748,0.726829,0.666667,0.720524,0.578269,-0.019919,0.126829,-0.166667
10m,229,11355,0.738618,0.601016,0.785366,0.416667,0.746725,0.551889,0.2415,230,0.82381,0.741057,0.64878,0.833333,0.668122,0.561303,0.140041,-0.136585,0.416667
40m,229,2750,0.749797,0.696748,0.726829,0.666667,0.720524,0.578269,0.2513,230,0.802381,0.723984,0.614634,0.833333,0.637555,0.538721,0.027236,-0.112195,0.166667
80m,229,1323,0.749187,0.686992,0.707317,0.666667,0.703057,0.565028,0.5665,230,0.79881,0.648882,0.756098,0.541667,0.733624,0.567215,-0.03811,0.04878,-0.125
120m,229,851,0.754065,0.698272,0.604878,0.791667,0.624454,0.524483,0.6502,230,0.809524,0.712703,0.717073,0.708333,0.716157,0.581188,0.014431,0.112195,-0.083333
240m,229,375,0.745528,0.659959,0.736585,0.583333,0.720524,0.564742,0.3892,230,0.795238,0.763008,0.692683,0.833333,0.707424,0.591474,0.103049,-0.043902,0.25
