task,head,run_tag,context_length,epoch,is_best_epoch,is_overfit_epoch,train_loss,val_loss,train_bal_acc,val_bal_acc,val_auroc,num_classes,n_train,n_val,n_test,n_epochs_run,n_overfit_epochs,training_time_min,batch_size,seq_len,steps_per_epoch,windows_per_subject_train,n_trainable_params,input_dim,hidden_dim,save_snapshots,snapshot_interval,train_accuracy,train_balanced_accuracy,train_macro_f1,train_auroc,train_recall_class0,train_recall_class1,train_recall_class2,train_recall_class3,train_recall_class4,val_accuracy,val_balanced_accuracy,val_macro_f1,val_recall_class0,val_recall_class1,val_recall_class2,val_recall_class3,val_recall_class4,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auroc,test_recall_class0,test_recall_class1,test_recall_class2,test_recall_class3,test_recall_class4
age_class,lstm,abl_bas_only,120m,1,False,False,0.9364013439836985,0.8734851079753239,0.5358242474415437,0.5593128471634682,0.781506275635535,3,43345,9305,9295,40,0,181.36339982350668,32,1440,1355,5.0,3155459,512,256,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,abl_bas_only,120m,2,False,False,0.8678782131353152,0.8675325474644271,0.5753582912295149,0.5825868972680729,0.7842559408654814,3,43345,9305,9295,40,0,181.36339982350668,32,1440,1355,5.0,3155459,512,256,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,abl_bas_only,120m,3,False,False,0.8472470760029182,0.8489272713469024,0.5859773065299104,0.5750426634235768,0.7988442801320587,3,43345,9305,9295,40,0,181.36339982350668,32,1440,1355,5.0,3155459,512,256,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,abl_bas_only,120m,4,False,False,0.8293322451924051,0.9226748245624622,0.5950007480817381,0.5720842196327983,0.767913598648477,3,43345,9305,9295,40,0,181.36339982350668,32,1440,1355,5.0,3155459,512,256,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,abl_bas_only,120m,5,False,False,0.8317201343494683,0.8362105470905375,0.5922077951126156,0.5882631865778526,0.802684615207404,3,43345,9305,9295,40,0,181.36339982350668,32,1440,1355,5.0,3155459,512,256,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,abl_bas_only,120m,6,False,False,0.8231647233447892,0.8417606554128738,0.6008650984369838,0.5985028203188644,0.7977838964001306,3,43345,9305,9295,40,0,181.36339982350668,32,1440,1355,5.0,3155459,512,256,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,abl_bas_only,120m,7,False,False,0.8146797537446119,0.8594037454657373,0.6048038054554615,0.5986105670333429,0.7941773245072232,3,43345,9305,9295,40,0,181.36339982350668,32,1440,1355,5.0,3155459,512,256,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,abl_bas_only,120m,8,False,False,0.8082559274064998,0.8135546191285721,0.6060860981318577,0.6028097399321145,0.8106277470563662,3,43345,9305,9295,40,0,181.36339982350668,32,1440,1355,5.0,3155459,512,256,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,abl_bas_only,120m,9,False,False,0.8077656328107455,0.846719762050356,0.6135427187137351,0.6033099115902602,0.7995687233733921,3,43345,9305,9295,40,0,181.36339982350668,32,1440,1355,5.0,3155459,512,256,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,abl_bas_only,120m,10,False,False,0.805865912608504,0.8323922327037526,0.6118318633099432,0.5915904635851646,0.7993734080533469,3,43345,9305,9295,40,0,181.36339982350668,32,1440,1355,5.0,3155459,512,256,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
