context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,229,227530,0.734928,0.648206,0.746411,0.55,0.729258,0.548065,0.271,230,0.813397,0.676435,0.602871,0.75,0.615721,0.497707,0.02823,-0.143541,0.2
10m,229,11323,0.727033,0.682536,0.665072,0.7,0.668122,0.527271,0.5369,230,0.827979,0.681459,0.712919,0.65,0.707424,0.548004,-0.001077,0.047847,-0.05
40m,229,2742,0.731818,0.662321,0.674641,0.65,0.672489,0.523671,0.5123,230,0.80884,0.662321,0.674641,0.65,0.672489,0.523671,0.0,0.0,0.0
80m,229,1317,0.721292,0.658612,0.617225,0.7,0.624454,0.497807,0.6157,230,0.86375,0.643421,0.736842,0.55,0.720524,0.541885,-0.015191,0.119617,-0.15
120m,229,849,0.713397,0.675359,0.650718,0.7,0.655022,0.518306,0.6256,230,0.802119,0.599522,0.799043,0.4,0.764192,0.544698,-0.075837,0.148325,-0.3
240m,229,375,0.743541,0.679067,0.708134,0.65,0.703057,0.544891,0.601,230,0.809068,0.626914,0.803828,0.45,0.772926,0.561561,-0.052153,0.095694,-0.2
