context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,229,227530,0.738038,0.680383,0.760766,0.6,0.746725,0.569214,0.2759,230,0.820574,0.708612,0.617225,0.8,0.633188,0.515124,0.02823,-0.143541,0.2
10m,229,11323,0.751435,0.663636,0.727273,0.6,0.716157,0.546756,0.5468,230,0.820916,0.68756,0.77512,0.6,0.759825,0.579339,0.023923,0.047847,0.0
40m,229,2742,0.738756,0.694737,0.789474,0.6,0.772926,0.589832,0.4335,230,0.81841,0.681459,0.712919,0.65,0.707424,0.548004,-0.013278,-0.076555,0.05
80m,229,1317,0.740431,0.600837,0.851675,0.35,0.80786,0.56569,0.3301,230,0.837434,0.668421,0.736842,0.6,0.724891,0.553025,0.067584,-0.114833,0.25
120m,229,849,0.752392,0.669976,0.889952,0.45,0.851528,0.631205,0.1676,230,0.818296,0.700359,0.650718,0.75,0.659389,0.52746,0.030383,-0.239234,0.3
240m,229,375,0.717225,0.663636,0.727273,0.6,0.716157,0.546756,0.468,230,0.806448,0.679067,0.708134,0.65,0.703057,0.544891,0.015431,-0.019139,0.05
