context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,1856,2077920,0.74708,0.670731,0.83618,0.505282,0.734914,0.67626,0.4286,1857,0.681606,0.698096,0.716615,0.679577,0.70528,0.678354,0.027365,-0.119565,0.174296
10m,1856,103428,0.755258,0.684405,0.815994,0.552817,0.735453,0.68593,0.4532,1857,0.691917,0.698561,0.722826,0.674296,0.707974,0.680085,0.014156,-0.093168,0.121479
40m,1856,25261,0.755092,0.69446,0.770963,0.617958,0.724138,0.686645,0.4828,1857,0.689681,0.700239,0.743789,0.65669,0.717134,0.685932,0.005779,-0.027174,0.038732
80m,1856,12060,0.768783,0.681201,0.784938,0.577465,0.721444,0.677813,0.4335,1857,0.706125,0.701415,0.693323,0.709507,0.698276,0.67567,0.020214,-0.091615,0.132042
120m,1856,7830,0.765565,0.693842,0.753882,0.633803,0.717134,0.682752,0.4286,1857,0.700348,0.699042,0.649845,0.748239,0.679957,0.663369,0.0052,-0.104037,0.114437
240m,1856,3567,0.776906,0.700311,0.775621,0.625,0.729526,0.692504,0.4532,1857,0.710897,0.703919,0.728261,0.679577,0.713362,0.685547,0.003609,-0.04736,0.054577
