task,head,run_tag,context_length,epoch,is_best_epoch,is_overfit_epoch,train_loss,val_loss,train_bal_acc,val_bal_acc,val_auroc,num_classes,n_train,n_val,n_test,n_epochs_run,n_overfit_epochs,training_time_min,batch_size,seq_len,steps_per_epoch,windows_per_subject_train,n_trainable_params,input_dim,hidden_dim,save_snapshots,snapshot_interval,train_accuracy,train_balanced_accuracy,train_macro_f1,train_auroc,train_recall_class0,train_recall_class1,train_recall_class2,train_recall_class3,train_recall_class4,val_accuracy,val_balanced_accuracy,val_macro_f1,val_recall_class0,val_recall_class1,val_recall_class2,val_recall_class3,val_recall_class4,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auroc,test_recall_class0,test_recall_class1,test_recall_class2,test_recall_class3,test_recall_class4
age_class,lstm,,30s,1,False,False,0.893608701143838,0.8468201085997166,0.5487248588124592,0.5810795507372801,0.7842004699701736,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,2,False,False,0.8033508904280857,0.8104594320843516,0.6058918351020484,0.596026880146042,0.799631649241272,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,3,False,False,0.7642239428540114,0.8024258735165809,0.6311291737034682,0.6124307411536818,0.8059512740927927,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,4,False,False,0.7407954216347198,0.7864013559135424,0.6496537711589374,0.6158638654323764,0.8117419711700417,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,5,False,False,0.7195759219809214,0.8042432283471183,0.6602407414922428,0.6164200352485129,0.8079248610773909,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,6,False,False,0.7039892295058974,0.7857913524344812,0.6742270073813023,0.59954984486379,0.8161654282859591,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,7,False,False,0.6886405079831492,0.7955547128038852,0.6821989746066794,0.6020728525926561,0.8123015950209771,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,8,False,False,0.6767121613665097,0.7984024835875572,0.6866653962950394,0.6052178989609596,0.8088724423110674,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,9,False,False,0.663760882021303,0.8101015995165022,0.697805357481947,0.6040642480510426,0.8137283426206459,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,10,False,False,0.6531046879334164,0.8235418545181299,0.7037397941243375,0.6218175120669366,0.8084183510831077,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,11,False,False,0.6403058965068084,0.7991820986587344,0.7099388213767849,0.6207088683002135,0.8152309950481205,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,12,False,False,0.6320953425259337,0.8042800483109168,0.7150947095171044,0.6046713422585267,0.8156107278213319,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,13,False,False,0.6183179496384943,0.8030670564575646,0.720551598373041,0.6121514715082247,0.8159637371690834,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,14,False,False,0.6114136419517384,0.8275628991437048,0.7270912199801218,0.6034961214015856,0.8063910157755685,3,43345,9305,9295,26,0,33.297535280386604,32,6,1355,5.0,658179,512,128,True,5,,,,,,,,,,,,,,,,,,,,,,,,,,
