context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,2020,2320100,0.707256,0.661358,0.676143,0.646573,0.658416,0.653689,0.4877,2021,0.656694,0.657886,0.640297,0.675475,0.661386,0.653749,-0.003472,-0.035847,0.028902
10m,2020,115492,0.714938,0.660066,0.728059,0.592073,0.646535,0.64511,0.468,2021,0.661232,0.663841,0.671199,0.656482,0.662376,0.657039,0.003775,-0.05686,0.06441
40m,2020,28209,0.761154,0.694984,0.699629,0.690339,0.694059,0.688494,0.4877,2021,0.698888,0.694389,0.676143,0.712634,0.69802,0.690444,-0.000595,-0.023486,0.022296
80m,2020,13493,0.790607,0.703767,0.590853,0.81668,0.726238,0.707521,0.532,2021,0.71819,0.709899,0.650185,0.769612,0.721782,0.71007,0.006132,0.059333,-0.047069
120m,2020,8753,0.798052,0.718906,0.724351,0.71346,0.717822,0.712374,0.4532,2021,0.732494,0.720623,0.660074,0.781173,0.732673,0.72107,0.001718,-0.064277,0.067713
240m,2020,3979,0.825305,0.742204,0.752781,0.731627,0.740099,0.735118,0.4778,2021,0.745826,0.741206,0.719407,0.763006,0.745545,0.738035,-0.000998,-0.033375,0.031379
