context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,1430,1518240,0.860846,0.769417,0.690511,0.848322,0.772727,0.769882,0.601,1429,0.80202,0.786763,0.837956,0.73557,0.784615,0.784544,0.017347,0.147445,-0.112752
10m,1430,75547,0.889492,0.817812,0.842336,0.793289,0.816783,0.816766,0.532,1429,0.826657,0.813736,0.874453,0.75302,0.811189,0.811055,-0.004076,0.032117,-0.040268
40m,1430,18455,0.905568,0.83027,0.835036,0.825503,0.83007,0.829916,0.532,1429,0.831878,0.828761,0.864234,0.793289,0.827273,0.827273,-0.001509,0.029197,-0.032215
80m,1430,8756,0.889071,0.808651,0.848175,0.769128,0.806993,0.806987,0.4384,1429,0.828729,0.806711,0.8,0.813423,0.806993,0.806675,-0.00194,-0.048175,0.044295
120m,1430,5697,0.89414,0.811738,0.824818,0.798658,0.811189,0.811106,0.4926,1429,0.827905,0.814246,0.820438,0.808054,0.813986,0.81384,0.002508,-0.00438,0.009396
240m,1430,2605,0.887417,0.80775,0.759124,0.856376,0.80979,0.808486,0.5616,1429,0.815535,0.810327,0.789781,0.830872,0.811189,0.810625,0.002577,0.030657,-0.025503
