context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,161,160870,0.795618,0.717462,0.636364,0.798561,0.776398,0.648983,0.5222,161,0.736395,0.737737,0.727273,0.748201,0.745342,0.636849,0.020275,0.090909,-0.05036
10m,161,8004,0.821125,0.713865,0.636364,0.791367,0.770186,0.6434,0.5074,161,0.782313,0.736593,0.681818,0.791367,0.776398,0.65696,0.022727,0.045455,0.0
40m,161,1949,0.821125,0.729398,0.681818,0.776978,0.763975,0.645785,0.5369,161,0.768707,0.75327,0.772727,0.733813,0.73913,0.638318,0.023872,0.090909,-0.043165
80m,161,943,0.840419,0.774853,0.772727,0.776978,0.776398,0.671429,0.5419,161,0.77381,0.773545,0.863636,0.683453,0.708075,0.624373,-0.001308,0.090909,-0.093525
120m,161,614,0.836821,0.732995,0.681818,0.784173,0.770186,0.651332,0.6059,161,0.770408,0.780739,0.863636,0.697842,0.720497,0.634773,0.047744,0.181818,-0.086331
240m,161,287,0.847613,0.767659,0.772727,0.76259,0.763975,0.660111,0.601,161,0.767007,0.785481,0.909091,0.661871,0.695652,0.619569,0.017822,0.136364,-0.100719
