task,head,run_tag,context_length,epoch,is_best_epoch,is_overfit_epoch,train_loss,val_loss,train_bal_acc,val_bal_acc,val_auroc,num_classes,n_train,n_val,n_test,n_epochs_run,n_overfit_epochs,training_time_min,batch_size,seq_len,steps_per_epoch,windows_per_subject_train,n_trainable_params,input_dim,hidden_dim,save_snapshots,snapshot_interval,train_accuracy,train_balanced_accuracy,train_macro_f1,train_auroc,train_recall_class0,train_recall_class1,train_recall_class2,train_recall_class3,train_recall_class4,val_accuracy,val_balanced_accuracy,val_macro_f1,val_recall_class0,val_recall_class1,val_recall_class2,val_recall_class3,val_recall_class4,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auroc,test_recall_class0,test_recall_class1,test_recall_class2,test_recall_class3,test_recall_class4
age_class,lstm,,30s,1,False,False,0.6925010428681643,0.7190911451034997,0.6648516048880208,0.6323467285451823,0.855109316736415,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,2,False,False,0.6815105445423478,0.7000773313931716,0.6711424617584774,0.6376499461040961,0.8620553444469566,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,3,False,False,0.6655465569545653,0.7079313862189097,0.6781167529716554,0.6327442749983185,0.8657022479980442,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,4,False,False,0.6470097987627076,0.7563362212511979,0.692081202412913,0.6143379388223966,0.8632441472033884,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,5,False,False,0.6326924260264862,0.6898287598454484,0.7010378669938939,0.6538747703450399,0.8622549969493637,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,6,False,False,0.614462698168683,0.698802187572313,0.7089758790761386,0.640579608852026,0.8696966379499095,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,7,False,False,0.5985349209553368,0.7090123478285146,0.7198181575541701,0.6374962321541724,0.8664497769932257,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,8,True,False,0.5892694278351851,0.6989090745201542,0.7229966139181901,0.6518951025526657,0.8702520851197318,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,0.7829988465974626,0.7572030541262696,0.7415164711386294,0.9193849394326059,0.7409905163329821,0.692487731219328,0.8381309148264984,,,0.7169445938676708,0.6518951025526657,0.6459460451643092,0.5476439790575917,0.5979310344827586,0.810110294117647,,,0.7181085437936593,0.6513155813859554,0.6423225874105313,0.8659185904224866,0.5459183673469388,0.6055350553505535,0.802493321460374,,
age_class,lstm,,30s,9,False,False,0.5694021249284932,0.7474760001291826,0.7343378589625055,0.6301366646134894,0.8686101218098724,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,10,False,False,0.5538635088539453,0.697162408518368,0.7484527748416642,0.657390699283866,0.8663094559094006,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,11,False,False,0.544852799541535,0.7318567325954735,0.7544847451523923,0.6419270263620884,0.8689107439503659,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,12,False,False,0.5221583212205696,0.7392002357726074,0.766065201578903,0.6430696637745187,0.8697178416559455,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,,30s,13,False,False,0.5076021475191073,0.7360705257359854,0.7744266327568967,0.6512546815982215,0.8674911816442394,3,43350,9295,9305,13,,374.7947148601214,32,,,,2149123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
