context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,1856,2077920,0.760413,0.681781,0.861801,0.501761,0.751616,0.690455,0.4483,1857,0.693639,0.695182,0.786491,0.603873,0.730603,0.690237,0.013401,-0.075311,0.102113
10m,1856,103428,0.762336,0.694433,0.65295,0.735915,0.678341,0.660717,0.5025,1857,0.700911,0.692749,0.658385,0.727113,0.679418,0.660784,-0.001684,0.005435,-0.008803
40m,1856,25261,0.756002,0.681606,0.831522,0.53169,0.739763,0.685829,0.4138,1857,0.704969,0.687948,0.710404,0.665493,0.696659,0.668946,0.006342,-0.121118,0.133803
80m,1856,12060,0.766586,0.687664,0.833075,0.542254,0.744073,0.691696,0.3892,1857,0.701422,0.697429,0.687112,0.707746,0.693427,0.671156,0.009765,-0.145963,0.165493
120m,1856,7830,0.755839,0.687823,0.817547,0.558099,0.738147,0.689286,0.3843,1857,0.706163,0.686893,0.680124,0.693662,0.684267,0.661433,-0.000929,-0.137422,0.135563
240m,1856,3567,0.747535,0.679129,0.789596,0.568662,0.721983,0.676793,0.404,1857,0.705227,0.687385,0.679348,0.695423,0.684267,0.661636,0.008256,-0.110248,0.126761
