task,held_out_context,K,actual,predicted,error
sleep_efficiency_binary,30s,120,0.7065305266330388,0.4957832436240827,-0.21074728300895612
sleep_efficiency_binary,30s,16,0.7066985295165794,0.49219373378839265,-0.21450479572818676
sleep_efficiency_binary,30s,160,0.7069988983083637,0.495896098819867,-0.2111027994884967
sleep_efficiency_binary,30s,2,0.6580062028701001,0.4537731471319588,-0.20423305573814132
sleep_efficiency_binary,30s,20,0.7064959078570368,0.4930882354140569,-0.21340767244297987
sleep_efficiency_binary,30s,200,0.7071007182377821,0.49596147102262905,-0.21113924721515304
sleep_efficiency_binary,30s,25,0.7048515159969291,0.49378241707927223,-0.21106909891765685
sleep_efficiency_binary,30s,250,0.706923551560594,0.49601220338942426,-0.2109113481711698
sleep_efficiency_binary,30s,3,0.6834230027511745,0.46943052492004084,-0.21399247783113368
sleep_efficiency_binary,30s,30,0.7060275361817119,0.49423251201022744,-0.21179502417148444
sleep_efficiency_binary,30s,320,0.7067244935985811,0.49605520179850415,-0.21066929180007699
sleep_efficiency_binary,30s,4,0.6924691943803545,0.4768909387787936,-0.21557825560156085
sleep_efficiency_binary,30s,40,0.705320905871548,0.49477773593545044,-0.21054316993609762
sleep_efficiency_binary,30s,400,0.7070915544441344,0.49608494354350796,-0.21100661090062645
sleep_efficiency_binary,30s,5,0.6917289634934825,0.48121243841444244,-0.21051652507904
sleep_efficiency_binary,30s,50,0.7058228781235809,0.49509356090693424,-0.21072931721664667
sleep_efficiency_binary,30s,500,0.7070253714900124,0.4961080247470305,-0.21091734674298196
sleep_efficiency_binary,30s,6,0.6933682643571191,0.4840144212059739,-0.2093538431511452
sleep_efficiency_binary,30s,60,0.7057770591553426,0.49529833614929075,-0.21047872300605186
sleep_efficiency_binary,30s,8,0.6972827315436104,0.4874086119664964,-0.20987411957711405
sleep_efficiency_binary,30s,80,0.7068889327845919,0.49554639128999,-0.21134254149460185
sleep_efficiency_binary,10m,1,0.6462429464243896,0.6783701073210218,0.032127160896632145
sleep_efficiency_binary,10m,10,0.7074255238126268,0.7566497194542274,0.04922419564160063
sleep_efficiency_binary,10m,100,0.7104953946845924,0.7600974527340383,0.04960205804944584
sleep_efficiency_binary,10m,12,0.7065132172450379,0.7574397546491625,0.05092653740412456
sleep_efficiency_binary,10m,120,0.7105239042648296,0.7601322489033034,0.049608344638473856
sleep_efficiency_binary,10m,16,0.7086646723536492,0.7583495865585033,0.0496849142048541
