task,context,context_min,dataset,n_subjects,auroc
sex_binary,40m,40.0,apples,166,0.7866883116883117
sex_binary,40m,40.0,shhs,1264,0.8796163311667823
sex_binary,80m,80.0,POOLED,1430,0.8971596531622006
sex_binary,80m,80.0,apples,166,0.8280844155844156
sex_binary,80m,80.0,shhs,1264,0.90440083296523
sex_binary,120m,120.0,POOLED,1430,0.9053485523930829
sex_binary,120m,120.0,apples,166,0.8589285714285714
sex_binary,120m,120.0,shhs,1264,0.9123417681580109
sex_binary,240m,240.0,POOLED,1430,0.910349287218929
sex_binary,240m,240.0,apples,166,0.8715909090909091
sex_binary,240m,240.0,shhs,1264,0.9158149807534549
