context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,1430,1518240,0.831752,0.758169,0.744526,0.771812,0.758741,0.758242,0.5271,1429,0.767714,0.754999,0.782482,0.727517,0.753846,0.753842,-0.00317,0.037956,-0.044295
10m,1430,75547,0.851203,0.770293,0.79562,0.744966,0.769231,0.769219,0.5025,1429,0.779424,0.771082,0.79854,0.743624,0.76993,0.769925,0.000789,0.00292,-0.001342
40m,1430,18455,0.871613,0.793876,0.814599,0.773154,0.793007,0.792974,0.4483,1429,0.802504,0.7903,0.759124,0.821477,0.791608,0.790742,-0.003576,-0.055474,0.048322
80m,1430,8756,0.897159,0.819027,0.805839,0.832215,0.81958,0.819172,0.468,1429,0.838825,0.812448,0.759124,0.865772,0.814685,0.813258,-0.006579,-0.046715,0.033557
120m,1430,5697,0.905349,0.822863,0.851095,0.794631,0.821678,0.821671,0.468,1429,0.839934,0.826973,0.836496,0.81745,0.826573,0.826463,0.00411,-0.014599,0.022819
240m,1430,2605,0.910349,0.827184,0.858394,0.795973,0.825874,0.825872,0.3646,1429,0.84248,0.829001,0.786861,0.871141,0.830769,0.829762,0.001817,-0.071533,0.075168
