context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,229,228170,0.747764,0.699187,0.731707,0.666667,0.724891,0.581644,0.2956,230,0.814286,0.710467,0.629268,0.791667,0.646288,0.540195,0.01128,-0.102439,0.125
10m,229,11355,0.75122,0.744614,0.697561,0.791667,0.707424,0.586052,0.5025,230,0.807143,0.747053,0.702439,0.791667,0.71179,0.589472,0.002439,0.004878,0.0
40m,229,2750,0.751016,0.72622,0.702439,0.75,0.707424,0.580391,0.4187,230,0.79881,0.717785,0.643902,0.791667,0.659389,0.549758,-0.008435,-0.058537,0.041667
80m,229,1323,0.727439,0.702947,0.697561,0.708333,0.69869,0.567865,0.3104,230,0.8,0.723984,0.614634,0.833333,0.637555,0.538721,0.021037,-0.082927,0.125
120m,229,851,0.765447,0.72002,0.731707,0.708333,0.729258,0.591448,0.4975,230,0.811905,0.72002,0.731707,0.708333,0.729258,0.591448,0.0,0.0,0.0
240m,229,375,0.752439,0.689431,0.712195,0.666667,0.707424,0.568301,0.6059,230,0.8,0.640244,0.780488,0.5,0.751092,0.572551,-0.049187,0.068293,-0.166667
