context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,161,160870,0.755396,0.637345,0.454545,0.820144,0.770186,0.605627,0.532,161,0.785714,0.732995,0.681818,0.784173,0.770186,0.651332,0.095651,0.227273,-0.035971
10m,161,8004,0.761609,0.72809,0.772727,0.683453,0.695652,0.602309,0.4483,161,0.807823,0.669555,0.590909,0.748201,0.726708,0.598413,-0.058535,-0.181818,0.064748
40m,161,1949,0.790713,0.689993,0.545455,0.834532,0.795031,0.648262,0.6157,161,0.785714,0.722204,0.681818,0.76259,0.751553,0.634921,0.032211,0.136364,-0.071942
80m,161,943,0.813604,0.670863,0.5,0.841727,0.795031,0.638202,0.5763,161,0.792517,0.764061,0.772727,0.755396,0.757764,0.654563,0.093198,0.272727,-0.086331
120m,161,614,0.814258,0.739045,0.636364,0.841727,0.813665,0.684561,0.468,161,0.761905,0.727109,0.590909,0.863309,0.826087,0.688502,-0.011936,-0.045455,0.021583
240m,161,287,0.817528,0.711576,0.545455,0.877698,0.832298,0.685479,0.7536,161,0.843537,0.775997,0.818182,0.733813,0.745342,0.650093,0.064421,0.272727,-0.143885
