context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,161,160870,0.74395,0.612165,0.454545,0.769784,0.726708,0.570979,0.5271,161,0.748299,0.658764,0.590909,0.726619,0.708075,0.583705,0.046599,0.136364,-0.043165
10m,161,8004,0.757031,0.639634,0.545455,0.733813,0.708075,0.575389,0.532,161,0.760204,0.70896,0.727273,0.690647,0.695652,0.595871,0.069326,0.181818,-0.043165
40m,161,1949,0.79431,0.69588,0.636364,0.755396,0.73913,0.616667,0.5862,161,0.772109,0.741171,0.863636,0.618705,0.652174,0.579321,0.045291,0.227273,-0.136691
80m,161,943,0.791367,0.675605,0.545455,0.805755,0.770186,0.62584,0.5714,161,0.79932,0.762753,0.863636,0.661871,0.689441,0.609071,0.087148,0.318182,-0.143885
120m,161,614,0.798234,0.74019,0.681818,0.798561,0.782609,0.662676,0.5763,161,0.806122,0.735284,0.772727,0.697842,0.708075,0.612366,-0.004905,0.090909,-0.100719
240m,161,287,0.817528,0.691138,0.590909,0.791367,0.763975,0.629482,0.596,161,0.806122,0.798725,0.863636,0.733813,0.751553,0.661623,0.107587,0.272727,-0.057554
