task,head,context_length,epoch,is_best_epoch,train_loss,val_loss,train_bal_acc,val_bal_acc,val_auroc,num_classes,n_train,n_val,n_test,n_epochs_run,training_time_min,train_accuracy,train_balanced_accuracy,train_macro_f1,train_auroc,train_recall_class0,train_recall_class1,train_recall_class2,train_recall_class3,train_recall_class4,val_accuracy,val_balanced_accuracy,val_macro_f1,val_recall_class0,val_recall_class1,val_recall_class2,val_recall_class3,val_recall_class4,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auroc,test_recall_class0,test_recall_class1,test_recall_class2,test_recall_class3,test_recall_class4,is_overfit_epoch,n_overfit_epochs,batch_size,seq_len,steps_per_epoch,windows_per_subject_train,n_trainable_params,input_dim,hidden_dim,save_snapshots,snapshot_interval
age_class,lstm,30s,1,False,0.893608701143838,0.8468201085997166,0.5487248588124592,0.5810795507372801,0.7842004699701736,3,43345,9305,9295,26,33.297535280386604,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,1,False,0.8786397801687016,0.8393329655976784,0.550321360662044,0.5813277596590223,0.7875200576628466,3,43345,9305,9295,28,21.96684121688207,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,2,False,0.8033508904280857,0.8104594320843516,0.6058918351020484,0.596026880146042,0.799631649241272,3,43345,9305,9295,26,33.297535280386604,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,2,False,0.7990629617641756,0.8212105178115574,0.6063196471154177,0.5774270568779544,0.7976213496887391,3,43345,9305,9295,28,21.96684121688207,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,3,False,0.7642239428540114,0.8024258735165809,0.6311291737034682,0.6124307411536818,0.8059512740927927,3,43345,9305,9295,26,33.297535280386604,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,3,False,0.7730521185847217,0.8042184865071145,0.6253328483341966,0.5829564001187828,0.808629083840858,3,43345,9305,9295,28,21.96684121688207,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,4,False,0.7407954216347198,0.7864013559135424,0.6496537711589374,0.6158638654323764,0.8117419711700417,3,43345,9305,9295,26,33.297535280386604,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,4,False,0.7532660104230361,0.8005966537169139,0.6364664399681405,0.5988356606984233,0.8059566989014896,3,43345,9305,9295,28,21.96684121688207,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,5,False,0.7195759219809214,0.8042432283471183,0.6602407414922428,0.6164200352485129,0.8079248610773909,3,43345,9305,9295,26,33.297535280386604,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,5,False,0.7361231561226338,0.7966608683951499,0.6489214914867771,0.5985243838270984,0.813068745416866,3,43345,9305,9295,28,21.96684121688207,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,6,False,0.7039892295058974,0.7857913524344812,0.6742270073813023,0.59954984486379,0.8161654282859591,3,43345,9305,9295,26,33.297535280386604,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,6,False,0.7238872516332634,0.806354139018994,0.6585115464233672,0.6081993743041277,0.8057044883410166,3,43345,9305,9295,28,21.96684121688207,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
age_class,lstm,30s,7,False,0.6886405079831492,0.7955547128038852,0.6821989746066794,0.6020728525926561,0.8123015950209771,3,43345,9305,9295,26,33.297535280386604,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,32.0,6.0,1355.0,5.0,658179.0,512.0,128.0,True,5.0
