context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,2023,2315620,0.697096,0.644906,0.663782,0.62603,0.641127,0.636713,0.4975,2021,0.648126,0.644905,0.658838,0.630972,0.642116,0.637304,-1e-06,-0.004944,0.004942
10m,2023,115270,0.717272,0.658914,0.686032,0.631796,0.653485,0.649637,0.4828,2021,0.665167,0.658079,0.631644,0.684514,0.663371,0.654732,-0.000835,-0.054388,0.052718
40m,2023,28157,0.730769,0.662205,0.666255,0.658155,0.661394,0.655707,0.4828,2021,0.666976,0.6657,0.637824,0.693575,0.67128,0.662516,0.003495,-0.02843,0.03542
80m,2023,13465,0.75854,0.685478,0.679852,0.691104,0.686604,0.680075,0.5222,2021,0.701402,0.686927,0.718171,0.655684,0.680672,0.677024,0.001449,0.038319,-0.03542
120m,2020,8733,0.778095,0.716378,0.679455,0.7533,0.723762,0.714492,0.5665,2021,0.711011,0.705652,0.778465,0.632838,0.691089,0.689641,-0.010726,0.09901,-0.120462
240m,2020,3964,0.787946,0.722772,0.737624,0.707921,0.719802,0.715008,0.4729,2021,0.718539,0.721122,0.700495,0.741749,0.725248,0.717572,-0.00165,-0.037129,0.033828
