context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,229,227530,0.737799,0.666029,0.732057,0.6,0.720524,0.549877,0.3104,230,0.820574,0.683612,0.617225,0.75,0.628821,0.506528,0.017584,-0.114833,0.15
10m,229,11323,0.742105,0.674282,0.698565,0.65,0.694323,0.538732,0.3203,230,0.815789,0.708612,0.617225,0.8,0.633188,0.515124,0.03433,-0.08134,0.15
40m,229,2742,0.752153,0.690789,0.631579,0.75,0.641921,0.515431,0.4335,230,0.811119,0.711005,0.62201,0.8,0.637555,0.518139,0.020215,-0.009569,0.05
80m,229,1317,0.75622,0.63756,0.77512,0.5,0.751092,0.555067,0.399,230,0.847004,0.654067,0.708134,0.6,0.69869,0.534512,0.016507,-0.066986,0.1
120m,229,849,0.739713,0.67189,0.69378,0.65,0.689956,0.535683,0.5566,230,0.820802,0.668421,0.736842,0.6,0.724891,0.553025,-0.003469,0.043062,-0.05
240m,229,375,0.740909,0.650598,0.751196,0.55,0.733624,0.551197,0.3055,230,0.806334,0.722967,0.645933,0.8,0.659389,0.533386,0.072368,-0.105263,0.25
