context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,229,228170,0.757317,0.715142,0.721951,0.708333,0.720524,0.58458,0.4138,230,0.813095,0.722663,0.653659,0.791667,0.668122,0.556202,0.00752,-0.068293,0.083333
10m,229,11355,0.769919,0.72002,0.731707,0.708333,0.729258,0.591448,0.4384,230,0.822619,0.737297,0.682927,0.791667,0.694323,0.575926,0.017276,-0.04878,0.083333
40m,229,2750,0.760976,0.704065,0.741463,0.666667,0.733624,0.588481,0.468,230,0.802381,0.712703,0.717073,0.708333,0.716157,0.581188,0.008638,-0.02439,0.041667
80m,229,1323,0.743902,0.661077,0.780488,0.541667,0.755459,0.584069,0.4089,230,0.829762,0.72622,0.702439,0.75,0.707424,0.580391,0.065142,-0.078049,0.208333
120m,229,851,0.747764,0.685671,0.746341,0.625,0.733624,0.581729,0.3744,230,0.80119,0.736179,0.639024,0.833333,0.659389,0.554786,0.050508,-0.107317,0.208333
240m,229,375,0.750203,0.695427,0.765854,0.625,0.751092,0.595594,0.335,230,0.803571,0.696951,0.643902,0.75,0.655022,0.541361,0.001524,-0.121951,0.125
