context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,2023,2315620,0.707029,0.659118,0.677379,0.640857,0.655462,0.65095,0.4631,2021,0.65387,0.644682,0.573548,0.715815,0.658922,0.644682,-0.014437,-0.103832,0.074959
10m,2023,115270,0.710523,0.661799,0.695921,0.627677,0.654968,0.651597,0.5074,2021,0.653163,0.660772,0.707046,0.614498,0.651508,0.64891,-0.001027,0.011125,-0.01318
40m,2023,28157,0.759829,0.687138,0.741656,0.632619,0.676223,0.673975,0.5025,2021,0.688738,0.686315,0.746601,0.62603,0.674246,0.672298,-0.000823,0.004944,-0.00659
80m,2020,13462,0.795568,0.711427,0.815594,0.607261,0.690594,0.690144,0.468,2021,0.720643,0.717822,0.75495,0.680693,0.710396,0.707078,0.006394,-0.060644,0.073432
120m,2020,8733,0.814609,0.735974,0.811881,0.660066,0.720792,0.719366,0.4335,2021,0.735678,0.730611,0.69802,0.763201,0.737129,0.728456,-0.005363,-0.113861,0.103135
240m,2020,3964,0.831392,0.748969,0.706683,0.791254,0.757426,0.748133,0.4926,2021,0.748587,0.747112,0.695545,0.79868,0.757426,0.747214,-0.001856,-0.011139,0.007426
