Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.647,0.685,0.693,0.699,0.698,0.697
10m,0.658,0.696,0.702,0.704,0.705,0.704
40m,0.670,0.707,0.715,0.714,—,0.714
80m,0.695,0.737,0.739,—,—,0.739
120m,0.708,0.745,0.745,—,—,0.745
240m,0.731,0.757,—,—,—,0.757
