Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.555,0.715,0.760,0.750,0.772,0.769
10m,0.621,0.823,0.824,0.840,0.818,0.816
40m,0.641,0.792,0.833,—,—,0.834
80m,0.731,0.758,—,—,—,0.767
120m,0.700,0.789,—,—,—,0.789
240m,0.739,—,—,—,—,0.774
