Task,Head,Context,Dataset,N,AUROC
Sleep apnea (AHI≥15),mean_pool,120m,Overall,2054,0.819
Sleep apnea (AHI≥15),mean_pool,120m,apples,168,0.751
Sleep apnea (AHI≥15),mean_pool,120m,mros,408,0.781
Sleep apnea (AHI≥15),mean_pool,120m,shhs,1278,0.822
Sleep apnea (AHI≥15),mean_pool,120m,stages,200,0.746
