Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.608,0.701,0.718,0.722,0.723,0.725
10m,0.608,0.714,0.728,0.732,0.733,0.734
40m,0.625,0.740,0.746,0.750,—,0.750
80m,0.653,0.753,0.758,—,—,0.757
120m,0.683,0.764,—,—,—,0.764
240m,0.734,—,—,—,—,0.765
