Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.676,0.747,0.754,0.759,0.761,0.760
10m,0.678,0.745,0.762,0.763,0.762,0.762
40m,0.693,0.749,0.754,0.756,—,0.756
80m,0.702,0.763,0.766,—,—,0.767
120m,0.724,0.755,—,—,—,0.756
240m,0.730,—,—,—,—,0.748
