Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.800,0.845,0.852,0.859,0.858,0.859
10m,0.818,0.861,0.864,0.869,0.869,0.869
40m,0.843,0.884,0.887,0.887,—,0.887
80m,0.870,0.903,0.905,—,—,0.905
120m,0.873,0.908,—,—,—,0.908
240m,0.904,—,—,—,—,0.911
