Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.604,0.738,0.753,0.761,0.763,0.765
10m,0.618,0.753,0.769,0.776,0.778,0.778
40m,0.650,0.786,0.796,0.799,—,0.799
80m,0.684,0.805,0.812,—,—,0.812
120m,0.717,0.818,—,—,—,0.819
240m,0.782,—,—,—,—,0.821
