Context_L,K=1,K=5,K=10,K=20,K=50,K=all
30s,0.646,0.694,0.701,0.708,0.706,0.707
10m,0.659,0.709,0.712,0.715,0.715,0.715
40m,0.677,0.751,0.762,0.761,—,0.761
80m,0.698,0.783,0.791,—,—,0.791
120m,0.714,0.798,0.798,—,—,0.798
240m,0.753,0.825,—,—,—,0.825
