context_length,n_subjects,n_windows_test,auroc,orig_balanced_accuracy,orig_recall_class0,orig_recall_class1,orig_accuracy,orig_macro_f1,optimal_threshold,val_n_subjects,val_balanced_accuracy_at_opt,tuned_balanced_accuracy,tuned_recall_class0,tuned_recall_class1,tuned_accuracy,tuned_macro_f1,balanced_accuracy_gain,recall_class0_gain,recall_class1_gain
30s,2174,2468440,0.628263,0.584724,0.690708,0.47874,0.628795,0.577269,0.4778,2174,0.599061,0.596538,0.556855,0.63622,0.580037,0.560975,0.011814,-0.133853,0.15748
10m,2174,122887,0.623748,0.588474,0.688759,0.488189,0.630175,0.580214,0.4877,2174,0.595223,0.590108,0.610136,0.570079,0.598436,0.568005,0.001634,-0.078622,0.08189
40m,2174,29984,0.621113,0.579339,0.451592,0.707087,0.526219,0.520074,0.5468,2174,0.595832,0.593591,0.755686,0.431496,0.660994,0.592923,0.014252,0.304094,-0.275591
80m,2174,14366,0.618477,0.578527,0.563353,0.593701,0.572217,0.549322,0.5025,2174,0.598671,0.582062,0.578298,0.585827,0.580497,0.555247,0.003535,0.014945,-0.007874
120m,2174,9289,0.620973,0.588442,0.748538,0.428346,0.655014,0.587411,0.5271,2174,0.591177,0.58601,0.816114,0.355906,0.681693,0.589562,-0.002432,0.067576,-0.072441
240m,2174,4198,0.617328,0.574319,0.751787,0.39685,0.648114,0.574353,0.4631,2174,0.593896,0.579468,0.532164,0.626772,0.559798,0.542646,0.005149,-0.219623,0.229921
